season,Game,opponent,1,total_penalties,rushing_first_downs,fourthdown_efficency,rushing_touchdowns,Yards_per_play,rushing_yards,Third_Down_Efficiency ,Interceptions,Time_of_possession_(),Passing_Touchdown,Total_First_Downs,Feild_goals_made,Punt_Yards
2017,1,Washington_Redskins,1,8,1,0,0,5.48,58,8,1,37:08:00,2,18,3,170
2017,2,Kansas_City_Chiefs,0,4,6,0,2,5.88,107,8,0,28:34:00,2,25,2,169
2017,3,New_York_Giants,1,9,13,2,0,4.85,193,5,2,39:12:00,1,21,2,182
2017,4,Los_Angeles_Chargers,1,9,12,1,0,6.14,214,9,0,37:32:00,1,23,4,95
2017,5,Arizona_Cardinals,1,5,5,0,1,6.55,122,9,0,39:18:00,4,16,2,129
2017,6,Carolina_Panthers,1,10,4,1,4,5.17,101,5,3,29:45:00,3,15,2,305
2017,7,Washington_Redskins,1,9,8,0,0,6.08,127,6,1,34:16:00,4,19,2,153
2017,8,San_Francisco_49ers,1,4,7,1,0,4.61,112,4,2,25:39:00,2,16,2,275
2017,9,Denver_Broncos,1,5,9,2,1,6.25,197,5,2,31:54:00,4,22,1,108
2017,10,Dallas_Cowboys,1,3,8,1,0,6.38,215,5,3,29:55:00,2,17,0,275
2017,11,Chicago_Bears,1,11,8,3,0,5.75,176,7,2,30:53:00,3,17,1,87
2017,12,Seattle_Seahawks,0,7,8,2,0,5.74,98,8,0,35:47:00,1,23,1,123
2017,13,Los_Angeles_Rams,1,10,5,2,0,5.35,139,8,0,29:54:00,4,20,3,142
2017,14,New_York_Giants,1,7,5,0,1,5.17,108,6,1,32:57:00,4,20,2,187
2017,15,Oakland_Raiders,1,8,3,2,0,3.54,78,1,2,30:49:00,1,10,2,334
2017,16,Dallas_Cowboys,0,7,6,0,0,3.98,70,2,0,29:29:00,0,11,0,299
2015,1,Atlanta Falcons,0,10,5,1,0,5.9,63,3,2,24:00:00,1,23,1,226
2015,2,Dallas Cowboys,0,8,2,1,0,4.1,7,2,2,19:30,1,17,1,302
2015,3,New York Jets,1,5,8,0,1,3.4,123,4,0,28:11:00,1,18,1,440
2015,4,Wasginton Redskins,0,8,4,0,0,6.3,87,4,0,18:52,3,14,0,251
2015,5,New Orleans Saints,1,4,11,0,2,6.6,186,4,2,34:02:00,2,34,4,50
2015,6,New Yorks Giants,1,9,10,0,1,5.6,158,6,3,30:30:00,1,24,2,217
2015,7,Caroline Panthers,0,7,6,1,1,4.3,177,7,1,31:06:00,0,20,3,233
2015,8,Dallas Cowboys,1,10,13,2,2,6.4,172,3,0,25:42:00,1,25,2,241
2015,9,Miami Dolphins,0,7,10,1,1,5.5,83,7,1,31:07:00,1,29,1,254
2015,10,Tampa Bay Buccaneers,0,5,8,0,0,5.3,136,7,3,24:06:00,2,21,1,279
2015,11,Detroit Lions,0,2,4,0,0,3.9,65,6,0,22:49,2,14,0,288
2015,12,New England Patriots,1,8,6,0,0,4.3,128,6,0,25:44:00,2,15,0,328
2015,13,Buffalo Bills,1,5,8,0,1,4.8,116,9,1,24:58:00,1,20,3,353
2015,14,Arizona Cardinals,0,5,4,0,0,6.7,74,6,2,22:32,2,19,1,147
2015,15,Wasginton Redskins,0,8,4,2,2,5.2,45,7,0,25:56:00,1,23,1,305
2015,16,New York Giants,1,3,7,0,2,6.7,120,10,1,28:06:00,2,23,0,124
2016,1,Cleveland Browns ,1,7,7,1,1,5.52,133,5,1,39:20:00,2,23,2,295
2016,2,Chicago Bears,1,5,7,3,2,4.12,100,3,1,36:05:00,1,21,3,218
2016,3,Pittsburgh Steelers ,1,10,10,0,2,6.98,125,4,1,34:56:00,2,25,2,165
2016,5,Detroit Lions,0,14,6,0,0,6.07,116,5,0,29:36:00,2,18,3,76
2016,6,Washington Redskins,0,13,5,0,0,4.98,94,4,1,25:47:00,0,12,2,266
2016,7,Vikings,1,7,5,1,0,4.43,101,4,1,27:52:00,1,15,2,202
2016,8,Cowboys,0,5,6,0,1,4.1,97,6,1,33:15:00,1,21,3,269
2016,9,NYG,0,4,6,1,2,5.99,96,3,2,32:40:00,0,21,3,141
2016,10,Atlanta Falcons,1,10,12,0,2,5.64,208,5,1,38:10:00,0,25,3,86
2016,11,Seahawks,0,8,6,1,0,4.22,113,6,0,31:06:00,2,20,0,344
2016,12,Packers,0,7,7,0,2,5.03,81,5,0,24:37:00,0,20,2,71
2016,13,Cincinnati,0,10,5,3,2,4.49,53,8,0,31:58:00,1,22,0,118
2016,14,washington,0,5,5,2,0,5.04,95,9,1,36:38:00,1,24,3,106
2016,15,Ravens,0,3,13,1,2,4.05,169,8,1,36:38:00,0,27,4,94
2016,16,NYG,1,1,6,0,1,5.2,118,4,3,25:56:00,1,15,1,237
2016,17,Cowboys,1,4,8,0,1,4.61,114,6,2,35:42:00,2,24,2,200
2018,1,Atlanta ,1,11,7,0,2,3.63,113,8,1,32:10:00,0,18,1,313
2018,2,Tampa Bay,0,6,8,3,2,5.49,91,5,0,35:39:00,1,24,0,280
2018,3,Indianapolis,1,10,10,0,1,4.92,152,6,1,40:12:00,1,26,2,128
2018,4,Tennessee,0,8,6,0,0,5.68,117,5,0,34:25:00,2,25,3,308
2018,5,Minnesota,0,8,4,1,0,6.62,81,2,0,27:13:00,2,21,2,187
2018,6,New York,1,4,5,0,1,5.57,108,9,0,32:30:00,3,23,2,240
2018,7,Carolina,0,4,6,3,0,5.26,58,3,0,35:17:00,2,21,1,135
2018,8,Jacksonville,1,4,7,0,0,6.37,133,7,1,32:38:00,3,22,1,155
2018,9,Dallas,0,0,3,0,0,6.79,71,4,1,26:38:00,2,23,2,88
2018,10,New Orleans,0,6,2,0,1,4.08,58,3,3,22:26,0,13,0,159
2018,11,New York,1,7,6,1,1,5.68,127,3,0,32:38:00,1,19,3,201
2018,12,Washington,1,5,8,0,1,6.06,130,7,1,39:19:00,2,28,2,93
2018,13,Dallas,0,5,1,1,0,5.33,34,1,0,22:32,3,16,1,276
2018,14,Los Angeles,1,6,7,0,3,6.25,111,4,1,31:36:00,0,17,3,155
2018,15,Houston,1,11,4,4,0,7.11,57,9,1,33:45:00,4,25,2,96
2018,16,Washington,1,5,10,1,0,5.07,129,8,1,43:19:00,3,25,1,123